scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-06-30 23:18:21 UTC,2018-06-23 20:00:00 UTC,https://www.oddsportal.com/football/h2h/germany-ptQide1O/sweden-OQyqbHWB/,Germany,Sweden,World Cup 2018,2,1,"(0:1, 2:0)",Fisht Olympic Stadium,Sochi,Russia,"[{'1': '1.46', 'X': '4.40', '2': '7.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.57', 'X': '4.20', '2': '6.40', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 23:18:32 UTC,2018-06-22 17:00:00 UTC,https://www.oddsportal.com/football/h2h/iceland-6TsAIrGN/nigeria-EBE2Xb3l/,Nigeria,Iceland,World Cup 2018,2,0,"(0:0, 2:0)",Volgograd Arena,Volgograd,Russia,"[{'1': '2.90', 'X': '3.00', '2': '2.65', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.95', 'X': '3.05', '2': '2.75', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 23:18:38 UTC,2018-06-25 20:00:00 UTC,https://www.oddsportal.com/football/h2h/iran-xrRx85iA/portugal-WvJrjFVN/,Iran,Portugal,World Cup 2018,1,1,"(0:1, 1:0)",Mordovia Arena,Saransk,Russia,"[{'1': '6.10', 'X': '3.95', '2': '1.58', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '6.20', 'X': '3.70', '2': '1.67', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 23:18:49 UTC,2018-06-20 20:00:00 UTC,https://www.oddsportal.com/football/h2h/iran-xrRx85iA/spain-bLyo6mco/,Iran,Spain,World Cup 2018,0,1,"(0:0, 0:1)",Ak Bars Arena,Kazan,Russia,"[{'1': '19.00', 'X': '6.50', '2': '1.18', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '15.60', 'X': '6.50', '2': '1.23', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 23:18:56 UTC,2018-06-28 16:00:00 UTC,https://www.oddsportal.com/football/h2h/japan-ULXPdOUj/poland-2HzmcynI/,Japan,Poland,World Cup 2018,0,1,"(0:0, 0:1)",Volgograd Arena,Volgograd,Russia,"[{'1': '2.85', 'X': '3.10', '2': '2.63', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.80', 'X': '3.10', '2': '2.85', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 23:19:07 UTC,2018-06-24 17:00:00 UTC,https://www.oddsportal.com/football/h2h/japan-ULXPdOUj/senegal-hOIsJLJr/,Japan,Senegal,World Cup 2018,2,2,"(1:1, 1:1)",Yekaterinburg Arena,Yekaterinburg,Russia,"[{'1': '3.05', 'X': '2.88', '2': '2.65', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.20', 'X': '3.20', '2': '2.45', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 23:19:07 UTC,2026-06-19 03:00:00 UTC,https://www.oddsportal.com/football/h2h/mexico-O6iHcNkd/south-korea-K6Gs7P6G/,Mexico,South Korea,World Championship 2026,1,0,"(0:0, 1:0)",Estadio Akron,Zapopan,Mexico,"[{'1': '2.05', 'X': '3.00', '2': '3.60', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.12', 'X': '3.25', '2': '4.05', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '2.05', 'X': '3.20', '2': '4.00', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '2.12', 'X': '3.30', '2': '4.00', 'bookmaker_name': 'Getsbet', 'period': 'FullTime'}, {'1': '2.14', 'X': '3.00', '2': '4.00', 'bookmaker_name': 'MrBitRO', 'period': 'FullTime'}, {'1': '2.07', 'X': '3.30', '2': '4.20', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '2.10', 'X': '3.25', '2': '4.00', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:19:13 UTC,2022-11-16 20:30:00 UTC,https://www.oddsportal.com/football/h2h/mexico-O6iHcNkd/sweden-OQyqbHWB/,Mexico,Sweden,Friendly International 2022,1,2,"(0:0, 1:2)",Estadio Municipal de Montilivi,Girona,Spain,"[{'1': '2.10', 'X': '3.15', '2': '3.55', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.18', 'X': '3.25', '2': '3.55', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '2.23', 'X': '3.40', '2': '3.85', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '2.15', 'X': '3.30', '2': '3.50', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '2.15', 'X': '3.35', '2': '3.60', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:19:25 UTC,2018-06-15 17:00:00 UTC,https://www.oddsportal.com/football/h2h/morocco-IDKYO3R8/iran-xrRx85iA/,Morocco,Iran,World Cup 2018,0,1,"(0:0, 0:1)",Gazprom Arena,Saint Petersburg,Russia,"[{'1': '2.16', 'X': '2.88', '2': '4.10', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.30', 'X': '3.05', '2': '3.75', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 23:19:25 UTC,2022-12-10 16:00:00 UTC,https://www.oddsportal.com/football/h2h/morocco-IDKYO3R8/portugal-WvJrjFVN/,Morocco,Portugal,World Cup 2022,1,0,"(1:0, 0:0)",Al Thumama Stadium,Doha,Qatar,"[{'1': '5.60', 'X': '3.45', '2': '1.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '6.00', 'X': '3.80', '2': '1.60', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '5.70', 'X': '3.70', '2': '1.80', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '6.00', 'X': '3.90', '2': '1.62', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '6.25', 'X': '3.95', '2': '1.63', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
