scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-06-30 22:36:25 UTC,2018-06-26 16:00:00 UTC,https://www.oddsportal.com/football/h2h/denmark-0KUdxQVi/france-QkGeVG1n/#QXUut5LA,Denmark,France,World Cup 2018,0,0,"(0:0, 0:0)",Stadium 974,Doha,Qatar,"[{'1': '5.10', 'X': '2.75', '2': '2.05', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.60', 'X': '2.70', '2': '2.15', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:36:27 UTC,2018-06-27 20:00:00 UTC,https://www.oddsportal.com/football/h2h/costa-rica-C4ePE2kq/switzerland-rHJ2vy1B/#APYcntrp,Switzerland,Costa Rica,World Cup 2018,2,2,"(1:0, 1:2)",Sovcombank Arena,Nizhny Novgorod,Russia,"[{'1': '1.56', 'X': '3.60', '2': '7.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.65', 'X': '3.55', '2': '7.00', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:36:28 UTC,2018-06-19 14:00:00 UTC,https://www.oddsportal.com/football/h2h/colombia-G02s4PCS/japan-ULXPdOUj/#KUdQ49F8,Colombia,Japan,World Cup 2018,1,2,"(1:1, 0:1)",Yodoko Sakura Stadium,Osaka,Japan,"[{'1': '1.83', 'X': '3.25', '2': '5.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.80', 'X': '3.40', '2': '5.52', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:36:44 UTC,2018-06-20 17:00:00 UTC,https://www.oddsportal.com/football/h2h/saudi-arabia-biSY8ox4/uruguay-xMk44orG/#lEbnWTin,Uruguay,Saudi Arabia,World Cup 2018,1,0,"(1:0, 0:0)",Hard Rock Stadium,"Miami Gardens, FL",USA,"[{'1': '1.18', 'X': '6.50', '2': '20.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.23', 'X': '6.40', '2': '16.20', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:36:46 UTC,2018-06-24 20:00:00 UTC,https://www.oddsportal.com/football/h2h/colombia-G02s4PCS/poland-2HzmcynI/#jHJcn1as,Poland,Colombia,World Cup 2018,0,3,"(0:1, 0:2)",Ak Bars Arena,Kazan,Russia,"[{'1': '3.45', 'X': '3.40', '2': '2.14', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.45', 'X': '3.35', '2': '2.25', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:36:47 UTC,2018-07-07 20:00:00 UTC,https://www.oddsportal.com/football/h2h/croatia-K8aznggo/russia-hrgrswHh/#WEqpywFK,Russia,Croatia,World Cup 2018,2,3,"0:0, 1:0",Stadion Poljud,Split,Croatia,"[{'1': '4.00', 'X': '3.10', '2': '2.07', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.00', 'X': '3.20', '2': '2.10', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:37:03 UTC,2018-07-07 16:00:00 UTC,https://www.oddsportal.com/football/h2h/england-j9N9ZNFA/sweden-OQyqbHWB/#SSuflM65,Sweden,England,World Cup 2018,0,2,"(0:1, 0:1)",Samara Arena,Samara,Russia,"[{'1': '5.00', 'X': '3.30', '2': '1.81', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.75', 'X': '3.25', '2': '1.95', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:37:05 UTC,2018-07-02 20:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/japan-ULXPdOUj/#xd04w79C,Belgium,Japan,World Cup 2018,3,2,"(0:0, 3:2)",Rostov Arena,Rostov,Russia,"[{'1': '1.41', 'X': '4.50', '2': '8.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.40', 'X': '4.80', '2': '10.25', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:37:05 UTC,2018-06-30 16:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/france-QkGeVG1n/#dKkVaZfn,France,Argentina,World Cup 2018,4,3,"(1:1, 3:2)",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '2.33', 'X': '3.05', '2': '3.35', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.42', 'X': '3.00', '2': '3.50', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:37:23 UTC,2018-06-26 20:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/nigeria-EBE2Xb3l/#Ywh7dQ5i,Nigeria,Argentina,World Cup 2018,1,2,"(0:1, 1:1)",Los Angeles Memorial Coliseum,"Los Angeles, CA",USA,"[{'1': '5.60', 'X': '5.10', '2': '1.47', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '6.15', 'X': '4.45', '2': '1.55', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:37:24 UTC,2018-06-20 14:00:00 UTC,https://www.oddsportal.com/football/h2h/morocco-IDKYO3R8/portugal-WvJrjFVN/#WA96R56H,Portugal,Morocco,World Cup 2018,1,0,"(1:0, 0:0)",Al Thumama Stadium,Doha,Qatar,"[{'1': '1.65', 'X': '3.55', '2': '6.10', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.70', 'X': '3.60', '2': '6.05', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:37:24 UTC,2018-06-19 20:00:00 UTC,https://www.oddsportal.com/football/h2h/egypt-bejDn7NN/russia-hrgrswHh/#ANarX9xt,Russia,Egypt,World Cup 2018,3,1,"(0:0, 3:1)",Misr Stadium,Cairo,Egypt,"[{'1': '1.91', 'X': '3.45', '2': '4.20', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.07', 'X': '3.25', '2': '4.15', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:37:41 UTC,2018-06-24 14:00:00 UTC,https://www.oddsportal.com/football/h2h/england-j9N9ZNFA/panama-OWKqbCfi/#ddPXbJRk,England,Panama,World Cup 2018,6,1,"(5:0, 1:1)",MetLife Stadium,"East Rutherford, NJ",USA,"[{'1': '1.20', 'X': '6.25', '2': '17.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.23', 'X': '6.30', '2': '17.00', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 22:37:43 UTC,2018-06-27 16:00:00 UTC,https://www.oddsportal.com/football/h2h/mexico-O6iHcNkd/sweden-OQyqbHWB/#4bpg61ZF,Mexico,Sweden,World Cup 2018,0,3,"(0:0, 0:3)",Estadio Municipal de Montilivi,Girona,Spain,[]
