tournament,home,away,date,p_home,p_draw,p_away,actual
WC2010,Germany,England,2010-06-27,0.30269573,0.23274647,0.46455780,home
WC2010,Brazil,Chile,2010-06-28,0.65072514,0.20168891,0.14758595,home
WC2010,Netherlands,Slovakia,2010-06-28,0.68162628,0.19061642,0.12775730,home
WC2010,Paraguay,Japan,2010-06-29,0.41035042,0.25828110,0.33136848,draw
WC2010,Spain,Portugal,2010-06-29,0.53274907,0.24228560,0.22496533,home
WC2010,Netherlands,Brazil,2010-07-02,0.26990551,0.24904567,0.48104882,home
WC2010,Uruguay,Ghana,2010-07-02,0.53367077,0.23243861,0.23389062,draw
WC2010,Argentina,Germany,2010-07-03,0.45621223,0.23027990,0.31350787,away
WC2010,Paraguay,Spain,2010-07-03,0.11593724,0.19219579,0.69186697,away
WC2010,Uruguay,Netherlands,2010-07-06,0.23979380,0.24114201,0.51906419,away
WC2010,Germany,Spain,2010-07-07,0.24179364,0.22797044,0.53023592,away
WC2010,Uruguay,Germany,2010-07-10,0.25582786,0.22425911,0.51991304,away
WC2010,Netherlands,Spain,2010-07-11,0.24158710,0.25047638,0.50793652,away
WC2014,Brazil,Croatia,2014-06-12,0.80323543,0.12308848,0.07367609,home
WC2014,Chile,Australia,2014-06-13,0.65947609,0.18460525,0.15591867,home
WC2014,Mexico,Cameroon,2014-06-13,0.56098006,0.22705922,0.21196071,home
WC2014,Spain,Netherlands,2014-06-13,0.54791033,0.23528320,0.21680647,away
WC2014,Colombia,Greece,2014-06-14,0.55973727,0.26004274,0.18021998,home
WC2014,England,Italy,2014-06-14,0.48718002,0.24600008,0.26681990,away
WC2014,Ivory Coast,Japan,2014-06-14,0.48082257,0.22405537,0.29512206,home
WC2014,Uruguay,Costa Rica,2014-06-14,0.67351604,0.19710634,0.12937761,away
WC2014,Argentina,Bosnia and Herzegovina,2014-06-15,0.69982144,0.17335750,0.12682106,home
WC2014,France,Honduras,2014-06-15,0.78888567,0.15005534,0.06105898,home
WC2014,Switzerland,Ecuador,2014-06-15,0.50396885,0.23924925,0.25678190,home
WC2014,Germany,Portugal,2014-06-16,0.51871960,0.21761934,0.26366106,home
WC2014,Ghana,United States,2014-06-16,0.42170431,0.24543895,0.33285673,away
WC2014,Iran,Nigeria,2014-06-16,0.25454233,0.24412550,0.50133217,draw
WC2014,Belgium,Algeria,2014-06-17,0.57416862,0.22357175,0.20225964,home
WC2014,Brazil,Mexico,2014-06-17,0.78179587,0.13025371,0.08795042,draw
WC2014,Russia,South Korea,2014-06-17,0.63105321,0.22141418,0.14753262,draw
WC2014,Australia,Netherlands,2014-06-18,0.11494978,0.17173616,0.71331407,away
WC2014,Cameroon,Croatia,2014-06-18,0.26377052,0.24458989,0.49163959,away
WC2014,Spain,Chile,2014-06-18,0.58756670,0.21648415,0.19594915,away
WC2014,Colombia,Ivory Coast,2014-06-19,0.54796609,0.23414863,0.21788527,home
WC2014,Japan,Greece,2014-06-19,0.40520216,0.26069732,0.33410051,draw
WC2014,Uruguay,England,2014-06-19,0.30397324,0.23787475,0.45815200,home
WC2014,Honduras,Ecuador,2014-06-20,0.19392063,0.21458393,0.59149544,away
WC2014,Italy,Costa Rica,2014-06-20,0.61659363,0.22433185,0.15907453,away
WC2014,Switzerland,France,2014-06-20,0.18288472,0.24541475,0.57170054,away
WC2014,Argentina,Iran,2014-06-21,0.75972587,0.15610173,0.08417239,home
WC2014,Germany,Ghana,2014-06-21,0.64792015,0.19190601,0.16017384,draw
WC2014,Nigeria,Bosnia and Herzegovina,2014-06-21,0.42677683,0.23198708,0.34123609,home
WC2014,Belgium,Russia,2014-06-22,0.31641755,0.25364668,0.42993577,home
WC2014,South Korea,Algeria,2014-06-22,0.31302365,0.25269629,0.43428006,away
WC2014,United States,Portugal,2014-06-22,0.23296188,0.22576920,0.54126892,draw
WC2014,Australia,Spain,2014-06-23,0.05725940,0.12056109,0.82217951,away
WC2014,Brazil,Cameroon,2014-06-23,0.88478029,0.08116194,0.03405777,home
WC2014,Croatia,Mexico,2014-06-23,0.29797468,0.23994675,0.46207857,away
WC2014,Netherlands,Chile,2014-06-23,0.46272054,0.23712636,0.30015310,home
WC2014,Costa Rica,England,2014-06-24,0.14047188,0.21179015,0.64773798,draw
WC2014,Greece,Ivory Coast,2014-06-24,0.30176546,0.25392757,0.44430696,home
WC2014,Italy,Uruguay,2014-06-24,0.33367085,0.23915050,0.42717865,away
WC2014,Japan,Colombia,2014-06-24,0.18868924,0.22919802,0.58211273,away
WC2014,Bosnia and Herzegovina,Iran,2014-06-25,0.51471767,0.22965453,0.25562780,home
WC2014,Ecuador,France,2014-06-25,0.14613317,0.21237339,0.64149343,draw
WC2014,Honduras,Switzerland,2014-06-25,0.16205821,0.21654867,0.62139312,away
WC2014,Nigeria,Argentina,2014-06-25,0.13552113,0.19052392,0.67395494,away
WC2014,Algeria,Russia,2014-06-26,0.17386463,0.23878701,0.58734836,draw
WC2014,South Korea,Belgium,2014-06-26,0.15820103,0.20317767,0.63862130,away
WC2014,Portugal,Ghana,2014-06-26,0.52923179,0.23495599,0.23581222,home
WC2014,United States,Germany,2014-06-26,0.15116385,0.18046115,0.66837500,away
WC2014,Brazil,Chile,2014-06-28,0.76285629,0.13754327,0.09960044,draw
WC2014,Colombia,Uruguay,2014-06-28,0.44002476,0.25149005,0.30848518,home
WC2014,Costa Rica,Greece,2014-06-29,0.27000007,0.27861735,0.45138258,draw
WC2014,Netherlands,Mexico,2014-06-29,0.49205019,0.23683486,0.27111496,home
WC2014,France,Nigeria,2014-06-30,0.60083813,0.23006400,0.16909787,home
WC2014,Germany,Algeria,2014-06-30,0.72902527,0.16350510,0.10746964,home
WC2014,Argentina,Switzerland,2014-07-01,0.63006589,0.21091334,0.15902077,home
WC2014,Belgium,United States,2014-07-01,0.54652840,0.22249093,0.23098067,home
WC2014,Brazil,Colombia,2014-07-04,0.66039850,0.18853651,0.15106499,home
WC2014,France,Germany,2014-07-04,0.41093733,0.24341000,0.34565267,away
WC2014,Argentina,Belgium,2014-07-05,0.57127604,0.21574918,0.21297477,home
WC2014,Netherlands,Costa Rica,2014-07-05,0.62554916,0.21870080,0.15575003,draw
WC2014,Brazil,Germany,2014-07-08,0.65366907,0.16887534,0.17745559,away
WC2014,Netherlands,Argentina,2014-07-09,0.26201133,0.23683068,0.50115799,draw
WC2014,Brazil,Netherlands,2014-07-12,0.64758374,0.18129155,0.17112471,away
WC2014,Germany,Argentina,2014-07-13,0.31107643,0.22206592,0.46685765,home
WC2018,Russia,Saudi Arabia,2018-06-14,0.78282107,0.12668643,0.09049250,home
WC2018,Egypt,Uruguay,2018-06-15,0.20457808,0.23074808,0.56467385,away
WC2018,Morocco,Iran,2018-06-15,0.44895443,0.28138383,0.26966174,away
WC2018,Portugal,Spain,2018-06-15,0.22157403,0.22378255,0.55464342,draw
WC2018,France,Australia,2018-06-16,0.73622231,0.16087637,0.10290132,home
WC2018,Argentina,Iceland,2018-06-16,0.71935722,0.16758698,0.11305580,draw
WC2018,Peru,Denmark,2018-06-16,0.26034424,0.24907328,0.49058249,away
WC2018,Croatia,Nigeria,2018-06-16,0.53151605,0.24647916,0.22200479,home
WC2018,Costa Rica,Serbia,2018-06-17,0.21717438,0.23336272,0.54946291,away
WC2018,Germany,Mexico,2018-06-17,0.57227486,0.21254656,0.21517858,away
WC2018,Brazil,Switzerland,2018-06-17,0.67873689,0.19691899,0.12434412,draw
WC2018,Sweden,South Korea,2018-06-18,0.54274260,0.23008914,0.22716826,home
WC2018,Belgium,Panama,2018-06-18,0.86170344,0.09814798,0.04014859,home
WC2018,Tunisia,England,2018-06-18,0.10997068,0.19480533,0.69522400,away
WC2018,Colombia,Japan,2018-06-19,0.64018241,0.20561337,0.15420422,away
WC2018,Poland,Senegal,2018-06-19,0.31497890,0.25237498,0.43264612,away
WC2018,Russia,Egypt,2018-06-19,0.49373799,0.22401634,0.28224566,home
WC2018,Portugal,Morocco,2018-06-20,0.47600419,0.25999123,0.26400457,home
WC2018,Uruguay,Saudi Arabia,2018-06-20,0.84185993,0.10888893,0.04925114,home
WC2018,Iran,Spain,2018-06-20,0.12237193,0.19324458,0.68438349,away
WC2018,Denmark,Australia,2018-06-21,0.61975076,0.21088348,0.16936575,draw
WC2018,France,Peru,2018-06-21,0.63988826,0.20558739,0.15452435,home
WC2018,Argentina,Croatia,2018-06-21,0.48345898,0.24585776,0.27068325,away
WC2018,Brazil,Costa Rica,2018-06-22,0.82000373,0.12931619,0.05068007,home
WC2018,Nigeria,Iceland,2018-06-22,0.47740475,0.23844295,0.28415231,home
WC2018,Serbia,Switzerland,2018-06-22,0.31381248,0.24606993,0.44011759,away
WC2018,Belgium,Tunisia,2018-06-23,0.72300034,0.16695280,0.11004686,home
WC2018,South Korea,Mexico,2018-06-23,0.22724690,0.22633646,0.54641664,away
WC2018,Germany,Sweden,2018-06-23,0.59149623,0.21046573,0.19803804,home
WC2018,England,Panama,2018-06-24,0.84286299,0.11763805,0.03949896,home
WC2018,Japan,Senegal,2018-06-24,0.21557411,0.23582678,0.54859911,draw
WC2018,Poland,Colombia,2018-06-24,0.23417122,0.23559690,0.53023188,away
WC2018,Russia,Uruguay,2018-06-25,0.28187390,0.21098482,0.50714128,away
WC2018,Saudi Arabia,Egypt,2018-06-25,0.11527765,0.18182289,0.70289946,home
WC2018,Spain,Morocco,2018-06-25,0.63823355,0.21581935,0.14594710,draw
WC2018,Iran,Portugal,2018-06-25,0.20600118,0.24028385,0.55371497,draw
WC2018,Australia,Peru,2018-06-26,0.26581996,0.23514420,0.49903584,away
WC2018,Denmark,France,2018-06-26,0.21641665,0.23261817,0.55096518,draw
WC2018,Nigeria,Argentina,2018-06-26,0.16268816,0.20804114,0.62927070,away
WC2018,Iceland,Croatia,2018-06-26,0.16159088,0.21094995,0.62745916,away
WC2018,South Korea,Germany,2018-06-27,0.11252179,0.16749776,0.71998045,home
WC2018,Mexico,Sweden,2018-06-27,0.42601017,0.24138667,0.33260316,away
WC2018,Serbia,Brazil,2018-06-27,0.10732240,0.17874348,0.71393412,away
WC2018,Switzerland,Costa Rica,2018-06-27,0.58643464,0.23060754,0.18295783,draw
WC2018,Japan,Poland,2018-06-28,0.25980500,0.22116001,0.51903498,away
WC2018,Senegal,Colombia,2018-06-28,0.24346657,0.26221154,0.49432189,away
WC2018,Panama,Tunisia,2018-06-28,0.19846892,0.23261745,0.56891363,away
WC2018,England,Belgium,2018-06-28,0.43380032,0.24322922,0.32297046,away
WC2018,France,Argentina,2018-06-30,0.46923847,0.23948904,0.29127248,home
WC2018,Uruguay,Portugal,2018-06-30,0.34381787,0.23895162,0.41723051,home
WC2018,Russia,Spain,2018-07-01,0.16598544,0.17879957,0.65521498,draw
WC2018,Croatia,Denmark,2018-07-01,0.41754508,0.26052751,0.32192741,draw
WC2018,Brazil,Mexico,2018-07-02,0.71803987,0.17718300,0.10477713,home
WC2018,Belgium,Japan,2018-07-02,0.68605037,0.17393994,0.14000969,home
WC2018,Sweden,Switzerland,2018-07-03,0.34053323,0.24898595,0.41048082,home
WC2018,Colombia,England,2018-07-03,0.29979940,0.26871490,0.43148570,draw
WC2018,Uruguay,France,2018-07-06,0.27073130,0.23252118,0.49674752,away
WC2018,Brazil,Belgium,2018-07-06,0.61684352,0.20606482,0.17709166,away
WC2018,Sweden,England,2018-07-07,0.21242500,0.24179279,0.54578221,away
WC2018,Russia,Croatia,2018-07-07,0.30847408,0.22738809,0.46413784,draw
WC2018,France,Belgium,2018-07-10,0.48835436,0.22508221,0.28656343,home
WC2018,Croatia,England,2018-07-11,0.25268224,0.26365932,0.48365844,home
WC2018,Belgium,England,2018-07-14,0.30956328,0.24264657,0.44779015,home
WC2018,France,Croatia,2018-07-15,0.53886814,0.23957340,0.22155845,home
WC2022,Qatar,Ecuador,2022-11-20,0.20037436,0.19303644,0.60658920,away
WC2022,Senegal,Netherlands,2022-11-21,0.19631200,0.21631819,0.58736981,away
WC2022,England,Iran,2022-11-21,0.56183139,0.23837373,0.19979487,home
WC2022,United States,Wales,2022-11-21,0.54240277,0.24501580,0.21258143,draw
WC2022,Argentina,Saudi Arabia,2022-11-22,0.83629373,0.11956086,0.04414541,away
WC2022,Mexico,Poland,2022-11-22,0.42328335,0.23291094,0.34380571,draw
WC2022,Denmark,Tunisia,2022-11-22,0.59703336,0.22186963,0.18109701,draw
WC2022,France,Australia,2022-11-22,0.65082900,0.19419082,0.15498017,home
WC2022,Germany,Japan,2022-11-23,0.50161827,0.21666378,0.28171794,away
WC2022,Spain,Costa Rica,2022-11-23,0.76188328,0.15838371,0.07973301,home
WC2022,Morocco,Croatia,2022-11-23,0.32936998,0.24115940,0.42947062,draw
WC2022,Belgium,Canada,2022-11-23,0.57198407,0.20723766,0.22077827,home
WC2022,Switzerland,Cameroon,2022-11-24,0.52595621,0.23990745,0.23413635,home
WC2022,Brazil,Serbia,2022-11-24,0.72471273,0.17308953,0.10219774,home
WC2022,Uruguay,South Korea,2022-11-24,0.59505767,0.21771042,0.18723191,draw
WC2022,Portugal,Ghana,2022-11-24,0.73048339,0.17555560,0.09396100,home
WC2022,Qatar,Senegal,2022-11-25,0.26601663,0.21280347,0.52117990,away
WC2022,Netherlands,Ecuador,2022-11-25,0.53025279,0.22191987,0.24782734,draw
WC2022,Wales,Iran,2022-11-25,0.29165700,0.27002860,0.43831440,away
WC2022,England,United States,2022-11-25,0.50518802,0.24103836,0.25377362,draw
WC2022,Poland,Saudi Arabia,2022-11-26,0.64537036,0.20264176,0.15198789,home
